"prompt","expected_output","category"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very dry. It has been studied for 44 years and is considered very important. Many researchers believe that The ocean will eventually be visited.","This text explains that The ocean has been studied extensively because it is very dry. Researchers believe it will be visited in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very dry. It has been studied for 45 years and is considered very important. Many researchers believe that The ocean will eventually be developed.","This text explains that The ocean has been studied extensively because it is very dry. Researchers believe it will be developed in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very dry. It has been studied for 46 years and is considered very important. Many researchers believe that The ocean will eventually be abandoned.","This text explains that The ocean has been studied extensively because it is very dry. Researchers believe it will be abandoned in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very dry. It has been studied for 47 years and is considered very important. Many researchers believe that The ocean will eventually be cleaned.","This text explains that The ocean has been studied extensively because it is very dry. Researchers believe it will be cleaned in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very dry. It has been studied for 48 years and is considered very important. Many researchers believe that The ocean will eventually be monitored.","This text explains that The ocean has been studied extensively because it is very dry. Researchers believe it will be monitored in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very dry. It has been studied for 49 years and is considered very important. Many researchers believe that The ocean will eventually be cherished.","This text explains that The ocean has been studied extensively because it is very dry. Researchers believe it will be cherished in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 50 years and is considered very important. Many researchers believe that The ocean will eventually be preserved.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be preserved in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 51 years and is considered very important. Many researchers believe that The ocean will eventually be explored.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be explored in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 52 years and is considered very important. Many researchers believe that The ocean will eventually be protected.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be protected in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 53 years and is considered very important. Many researchers believe that The ocean will eventually be studied.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be studied in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 54 years and is considered very important. Many researchers believe that The ocean will eventually be visited.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be visited in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 55 years and is considered very important. Many researchers believe that The ocean will eventually be developed.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be developed in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 56 years and is considered very important. Many researchers believe that The ocean will eventually be abandoned.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be abandoned in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 57 years and is considered very important. Many researchers believe that The ocean will eventually be cleaned.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be cleaned in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 58 years and is considered very important. Many researchers believe that The ocean will eventually be monitored.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be monitored in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very tall. It has been studied for 59 years and is considered very important. Many researchers believe that The ocean will eventually be cherished.","This text explains that The ocean has been studied extensively because it is very tall. Researchers believe it will be cherished in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 60 years and is considered very important. Many researchers believe that The ocean will eventually be preserved.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be preserved in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 61 years and is considered very important. Many researchers believe that The ocean will eventually be explored.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be explored in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 62 years and is considered very important. Many researchers believe that The ocean will eventually be protected.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be protected in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 63 years and is considered very important. Many researchers believe that The ocean will eventually be studied.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be studied in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 64 years and is considered very important. Many researchers believe that The ocean will eventually be visited.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be visited in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 65 years and is considered very important. Many researchers believe that The ocean will eventually be developed.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be developed in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 66 years and is considered very important. Many researchers believe that The ocean will eventually be abandoned.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be abandoned in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 67 years and is considered very important. Many researchers believe that The ocean will eventually be cleaned.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be cleaned in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 68 years and is considered very important. Many researchers believe that The ocean will eventually be monitored.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be monitored in the future.","Summarization"
"Summarize the following text in 1-2 sentences.

Text: The ocean is a fascinating place that is very crowded. It has been studied for 69 years and is considered very important. Many researchers believe that The ocean will eventually be cherished.","This text explains that The ocean has been studied extensively because it is very crowded. Researchers believe it will be cherished in the future.","Summarization"
"Write a Python function that multiplies a number by 1 and adds 11.","def math_op_1(n):
    return n * 1 + 11","Coding"
"Write a Python function that multiplies a number by 2 and adds 12.","def math_op_2(n):
    return n * 2 + 12","Coding"
"Write a Python function that multiplies a number by 3 and adds 13.","def math_op_3(n):
    return n * 3 + 13","Coding"
"Write a Python function that multiplies a number by 4 and adds 14.","def math_op_4(n):
    return n * 4 + 14","Coding"
"Write a Python function that multiplies a number by 5 and adds 15.","def math_op_5(n):
    return n * 5 + 15","Coding"
"Write a Python function that multiplies a number by 6 and adds 16.","def math_op_6(n):
    return n * 6 + 16","Coding"
"Write a Python function that multiplies a number by 7 and adds 17.","def math_op_7(n):
    return n * 7 + 17","Coding"
"Write a Python function that multiplies a number by 8 and adds 18.","def math_op_8(n):
    return n * 8 + 18","Coding"
"Write a Python function that multiplies a number by 9 and adds 19.","def math_op_9(n):
    return n * 9 + 19","Coding"
"Write a Python function that multiplies a number by 10 and adds 20.","def math_op_10(n):
    return n * 10 + 20","Coding"
"Write a Python function that multiplies a number by 11 and adds 21.","def math_op_11(n):
    return n * 11 + 21","Coding"
"Write a Python function that multiplies a number by 12 and adds 22.","def math_op_12(n):
    return n * 12 + 22","Coding"
"Write a Python function that multiplies a number by 13 and adds 23.","def math_op_13(n):
    return n * 13 + 23","Coding"
"Write a Python function that multiplies a number by 14 and adds 24.","def math_op_14(n):
    return n * 14 + 24","Coding"
"Write a Python function that multiplies a number by 15 and adds 25.","def math_op_15(n):
    return n * 15 + 25","Coding"
"Write a Python function that multiplies a number by 16 and adds 26.","def math_op_16(n):
    return n * 16 + 26","Coding"
"Write a Python function that multiplies a number by 17 and adds 27.","def math_op_17(n):
    return n * 17 + 27","Coding"
"Write a Python function that multiplies a number by 18 and adds 28.","def math_op_18(n):
    return n * 18 + 28","Coding"
"Write a Python function that multiplies a number by 19 and adds 29.","def math_op_19(n):
    return n * 19 + 29","Coding"
"Write a Python function that multiplies a number by 20 and adds 30.","def math_op_20(n):
    return n * 20 + 30","Coding"
"Write a Python function that multiplies a number by 21 and adds 31.","def math_op_21(n):
    return n * 21 + 31","Coding"
"Write a Python function that multiplies a number by 22 and adds 32.","def math_op_22(n):
    return n * 22 + 32","Coding"
"Write a Python function that multiplies a number by 23 and adds 33.","def math_op_23(n):
    return n * 23 + 33","Coding"
"Write a Python function that multiplies a number by 24 and adds 34.","def math_op_24(n):
    return n * 24 + 34","Coding"
"Write a Python function that multiplies a number by 25 and adds 35.","def math_op_25(n):
    return n * 25 + 35","Coding"
"Write a Python function that multiplies a number by 26 and adds 36.","def math_op_26(n):
    return n * 26 + 36","Coding"
"Write a Python function that multiplies a number by 27 and adds 37.","def math_op_27(n):
    return n * 27 + 37","Coding"
"Write a Python function that multiplies a number by 28 and adds 38.","def math_op_28(n):
    return n * 28 + 38","Coding"
"Write a Python function that multiplies a number by 29 and adds 39.","def math_op_29(n):
    return n * 29 + 39","Coding"
"Write a Python function that multiplies a number by 30 and adds 40.","def math_op_30(n):
    return n * 30 + 40","Coding"
"Write a Python function that multiplies a number by 31 and adds 41.","def math_op_31(n):
    return n * 31 + 41","Coding"
"Write a Python function that multiplies a number by 32 and adds 42.","def math_op_32(n):
    return n * 32 + 42","Coding"
"Write a Python function that multiplies a number by 33 and adds 43.","def math_op_33(n):
    return n * 33 + 43","Coding"
"Write a Python function that multiplies a number by 34 and adds 44.","def math_op_34(n):
    return n * 34 + 44","Coding"
"Write a Python function that multiplies a number by 35 and adds 45.","def math_op_35(n):
    return n * 35 + 45","Coding"
"Write a Python function that multiplies a number by 36 and adds 46.","def math_op_36(n):
    return n * 36 + 46","Coding"
"Write a Python function that multiplies a number by 37 and adds 47.","def math_op_37(n):
    return n * 37 + 47","Coding"
"Write a Python function that multiplies a number by 38 and adds 48.","def math_op_38(n):
    return n * 38 + 48","Coding"
"Write a Python function that multiplies a number by 39 and adds 49.","def math_op_39(n):
    return n * 39 + 49","Coding"
"Write a Python function that multiplies a number by 40 and adds 50.","def math_op_40(n):
    return n * 40 + 50","Coding"
"Fix the bug in this Python code:
def return_num_1():
    return ""1""","def return_num_1():
    return 1","Coding"
"Fix the bug in this Python code:
def return_num_2():
    return ""2""","def return_num_2():
    return 2","Coding"
"Fix the bug in this Python code:
def return_num_3():
    return ""3""","def return_num_3():
    return 3","Coding"
"Fix the bug in this Python code:
def return_num_4():
    return ""4""","def return_num_4():
    return 4","Coding"
"Fix the bug in this Python code:
def return_num_5():
    return ""5""","def return_num_5():
    return 5","Coding"
"Fix the bug in this Python code:
def return_num_6():
    return ""6""","def return_num_6():
    return 6","Coding"
"Fix the bug in this Python code:
def return_num_7():
    return ""7""","def return_num_7():
    return 7","Coding"
"Fix the bug in this Python code:
def return_num_8():
    return ""8""","def return_num_8():
    return 8","Coding"
"Fix the bug in this Python code:
def return_num_9():
    return ""9""","def return_num_9():
    return 9","Coding"
"Fix the bug in this Python code:
def return_num_10():
    return ""10""","def return_num_10():
    return 10","Coding"
"Fix the bug in this Python code:
def return_num_11():
    return ""11""","def return_num_11():
    return 11","Coding"
"Fix the bug in this Python code:
def return_num_12():
    return ""12""","def return_num_12():
    return 12","Coding"
"Fix the bug in this Python code:
def return_num_13():
    return ""13""","def return_num_13():
    return 13","Coding"
"Fix the bug in this Python code:
def return_num_14():
    return ""14""","def return_num_14():
    return 14","Coding"
"Fix the bug in this Python code:
def return_num_15():
    return ""15""","def return_num_15():
    return 15","Coding"
"Fix the bug in this Python code:
def return_num_16():
    return ""16""","def return_num_16():
    return 16","Coding"
"Fix the bug in this Python code:
def return_num_17():
    return ""17""","def return_num_17():
    return 17","Coding"
"Fix the bug in this Python code:
def return_num_18():
    return ""18""","def return_num_18():
    return 18","Coding"
"Fix the bug in this Python code:
def return_num_19():
    return ""19""","def return_num_19():
    return 19","Coding"
"Fix the bug in this Python code:
def return_num_20():
    return ""20""","def return_num_20():
    return 20","Coding"
"Write a haiku about beautiful nature","Spring blooms in the sun
Birds are singing in the sky
Nature is alive","Creative"
"Write a haiku about beautiful seasons","Spring blooms in the sun
Birds are singing in the sky
Peace is all around","Creative"
"Write a haiku about beautiful animals","Spring blooms in the sun
Birds are singing in the sky
World is full of joy","Creative"
"Write a haiku about beautiful weather","Spring blooms in the sun
Birds are singing in the sky
Life is beautiful","Creative"
"Write a haiku about beautiful space","Spring blooms in the sun
River flows down to the sea
Nature is alive","Creative"
"Write a haiku about wild nature","Spring blooms in the sun
River flows down to the sea
Peace is all around","Creative"
"Write a haiku about wild seasons","Spring blooms in the sun
River flows down to the sea
World is full of joy","Creative"
"Write a haiku about wild animals","Spring blooms in the sun
River flows down to the sea
Life is beautiful","Creative"
"Write a haiku about wild weather","Spring blooms in the sun
Stars are shining in the night
Nature is alive","Creative"
"Write a haiku about wild space","Spring blooms in the sun
Stars are shining in the night
Peace is all around","Creative"
"Write a haiku about calm nature","Spring blooms in the sun
Stars are shining in the night
World is full of joy","Creative"
"Write a haiku about calm seasons","Spring blooms in the sun
Stars are shining in the night
Life is beautiful","Creative"
"Write a haiku about calm animals","Spring blooms in the sun
Mountains reach up to the clouds
Nature is alive","Creative"
"Write a haiku about calm weather","Spring blooms in the sun
Mountains reach up to the clouds
Peace is all around","Creative"
"Write a haiku about calm space","Spring blooms in the sun
Mountains reach up to the clouds
World is full of joy","Creative"
"Write a haiku about stormy nature","Spring blooms in the sun
Mountains reach up to the clouds
Life is beautiful","Creative"
"Write a haiku about stormy seasons","Leaves fall from the tree
Birds are singing in the sky
Nature is alive","Creative"
"Write a haiku about stormy animals","Leaves fall from the tree
Birds are singing in the sky
Peace is all around","Creative"
"Write a haiku about stormy weather","Leaves fall from the tree
Birds are singing in the sky
World is full of joy","Creative"
"Write a haiku about stormy space","Leaves fall from the tree
Birds are singing in the sky
Life is beautiful","Creative"
"Write a haiku about silent nature","Leaves fall from the tree
River flows down to the sea
Nature is alive","Creative"
"Write a haiku about silent seasons","Leaves fall from the tree
River flows down to the sea
Peace is all around","Creative"
"Write a haiku about silent animals","Leaves fall from the tree
River flows down to the sea
World is full of joy","Creative"
"Write a haiku about silent weather","Leaves fall from the tree
River flows down to the sea
Life is beautiful","Creative"
"Write a haiku about silent space","Leaves fall from the tree
Stars are shining in the night
Nature is alive","Creative"
"Write a haiku about ancient nature","Leaves fall from the tree
Stars are shining in the night
Peace is all around","Creative"
"Write a haiku about ancient seasons","Leaves fall from the tree
Stars are shining in the night
World is full of joy","Creative"
"Write a haiku about ancient animals","Leaves fall from the tree
Stars are shining in the night
Life is beautiful","Creative"
"Write a haiku about ancient weather","Leaves fall from the tree
Mountains reach up to the clouds
Nature is alive","Creative"
"Write a haiku about ancient space","Leaves fall from the tree
Mountains reach up to the clouds
Peace is all around","Creative"
"Write a haiku about mystic nature","Leaves fall from the tree
Mountains reach up to the clouds
World is full of joy","Creative"
"Write a haiku about mystic seasons","Leaves fall from the tree
Mountains reach up to the clouds
Life is beautiful","Creative"
"Write a haiku about mystic animals","Snow covers the ground
Birds are singing in the sky
Nature is alive","Creative"
"Write a haiku about mystic weather","Snow covers the ground
Birds are singing in the sky
Peace is all around","Creative"
"Write a haiku about mystic space","Snow covers the ground
Birds are singing in the sky
World is full of joy","Creative"
"Write a haiku about dark nature","Snow covers the ground
Birds are singing in the sky
Life is beautiful","Creative"
"Write a haiku about dark seasons","Snow covers the ground
River flows down to the sea
Nature is alive","Creative"
"Write a haiku about dark animals","Snow covers the ground
River flows down to the sea
Peace is all around","Creative"
"Write a haiku about dark weather","Snow covers the ground
River flows down to the sea
World is full of joy","Creative"
"Write a haiku about dark space","Snow covers the ground
River flows down to the sea
Life is beautiful","Creative"
"Write a haiku about bright nature","Snow covers the ground
Stars are shining in the night
Nature is alive","Creative"
"Write a haiku about bright seasons","Snow covers the ground
Stars are shining in the night
Peace is all around","Creative"
"Write a haiku about bright animals","Snow covers the ground
Stars are shining in the night
World is full of joy","Creative"
"Write a haiku about bright weather","Snow covers the ground
Stars are shining in the night
Life is beautiful","Creative"
"Write a haiku about bright space","Snow covers the ground
Mountains reach up to the clouds
Nature is alive","Creative"
"Write a haiku about cold nature","Snow covers the ground
Mountains reach up to the clouds
Peace is all around","Creative"
"Write a haiku about cold seasons","Snow covers the ground
Mountains reach up to the clouds
World is full of joy","Creative"
"Write a haiku about cold animals","Snow covers the ground
Mountains reach up to the clouds
Life is beautiful","Creative"
"Write a haiku about cold weather","Summer breeze is warm
Birds are singing in the sky
Nature is alive","Creative"
"Write a haiku about cold space","Summer breeze is warm
Birds are singing in the sky
Peace is all around","Creative"
"Write a haiku about warm nature","Summer breeze is warm
Birds are singing in the sky
World is full of joy","Creative"
"Write a haiku about warm seasons","Summer breeze is warm
Birds are singing in the sky
Life is beautiful","Creative"
"Write a haiku about warm animals","Summer breeze is warm
River flows down to the sea
Nature is alive","Creative"
"Write a haiku about warm weather","Summer breeze is warm
River flows down to the sea
Peace is all around","Creative"
"Write a haiku about warm space","Summer breeze is warm
River flows down to the sea
World is full of joy","Creative"
"Write a haiku about distant nature","Summer breeze is warm
River flows down to the sea
Life is beautiful","Creative"
"Write a haiku about distant seasons","Summer breeze is warm
Stars are shining in the night
Nature is alive","Creative"
"Write a haiku about distant animals","Summer breeze is warm
Stars are shining in the night
Peace is all around","Creative"
"Write a haiku about distant weather","Summer breeze is warm
Stars are shining in the night
World is full of joy","Creative"
"Write a haiku about distant space","Summer breeze is warm
Stars are shining in the night
Life is beautiful","Creative"
